Restaurant ID,Restaurant,Address,Locality,Cuisines,Average Cost for two,Rating,Rating text,Votes
18057802,Mysore Cafe,"12, South Avenue Market, Near Sena Bhawan, India Gate, New Delhi",India Gate,South Indian,200,3,Average,12
307622,Maharashtra Sadan,"Behind Baroda House, Kasturbha Gandhi Marg, Near India Gate, New Delhi",India Gate,"North Indian, Maharashtrian",300,4,Good,266
18475283,Kashmiri Hills Wazwan,"Kasmir House, India Gate, New Delhi",India Gate,Kashmiri,300,1,Not rated,1
18481278,Mirch Masala Restaurant,"Shop 1, South Avenue Market, India Gate, New Delhi",India Gate,North Indian,400,1,Not rated,0
311546,Shree Rathnam,"24, Akbar Road, Near India Gate, New Delhi",India Gate,"South Indian, North Indian, Chinese",800,1,Not rated,3
1546,Abhishek Restaurant,"Shop G-6, Pankaj Corner Market, Near Prince Appartment, IP Extension, New Delhi",IP Extension,"North Indian, Chinese",400,3,Average,36
4673,AL Maroosh,"E/76, West Vinod Nagar, IP Extension, New Delhi",IP Extension,"North Indian, Mughlai, Chinese",500,3,Average,20
18440187,Ambarsari Kababs & Curries,"G-45, Pankaj Central Market, Near Plato Public School, IP Extension, New Delhi",IP Extension,"North Indian, Chinese",400,3,Average,4
304304,Ambrosia - The Golden Palms Hotel,"The Golden Palms Hotel, 6C, Opposite East Delhi Police Headquarter, IP Extension, New Delhi",IP Extension,"North Indian, Continental",1500,3,Average,68
18107859,Bala's Kitchen,"B/1-133, Ekta Garden, IP Extension, New Delhi",IP Extension,South Indian,300,3,Average,4
303582,Cafe Meadows,"9, DDA Market 1, Opposite St. Andrew's Scots School, IP Extension, New Delhi",IP Extension,"Fast Food, Desserts",200,3,Average,26
306595,Dee The Baker,"Agrasen Apartments, IP Extension, New Delhi",IP Extension,Bakery,300,3,Average,11
305348,Dilli Darbaar,"Madhu Vihar Market, IP Extension, New Delhi",IP Extension,Street Food,100,3,Average,18
303586,Finger Licious,"A-142, Madhu Vihar Main Road, Near Patparganj Bus Depot, IP Extension, New Delhi",IP Extension,"Bakery, Fast Food",200,3,Average,137
18289231,Garden Hut,"Balco Society, Front Market, IP Extension, New Delhi",IP Extension,Chinese,450,3,Average,8
9803,Hari Mirch Masala,"B-34, Gurudawara Road, Madhu Vihar, IP Extension, New Delhi",IP Extension,"North Indian, Chinese",350,3,Average,101
